Avg_Timestamp,Source,N_Objects,Avg_Speed,Avg_Acceleration,Approaching,Accelerating,Prev_Group,Group
1723808194602,3,19,0.3335650608421052,0.0015037037654502,0,0,020022,020022
1723808194602,2,4,0.001,9.784879375e-11,1,1,020022,020022
1723808194602,2,1,5.0128727,0.0019690627,0,0,020022,020022
1723808195003,3,4,5.3003714,0.41047016743525,1,1,020022,020022
1723808195003,3,19,0.3335650608421052,0.0015037037654502,0,0,020022,020022
1723808195003,2,4,0.001,9.784879375e-11,1,1,020022,020022
1723808195003,2,1,4.9371624,0.18069571,0,0,020022,020022
1723808195100,3,4,5.3003714,0.41047016743525,1,1,020022,020022
1723808195100,3,19,0.3335650608421052,0.0015037037654502,0,0,020022,020022
1723808195304,2,4,0.001,9.784879375e-11,1,1,020022,020022
1723808195304,2,1,4.9371634,0.033428047,0,0,020022,020022
1723808195514,3,4,5.3003714,0.41047016743525,1,1,020022,020022
1723808195514,3,19,0.3335650608421052,0.0015037037654502,0,0,020022,020022
1723808195698,2,4,0.001,9.784879375e-11,1,1,020022,020022
1723808195698,2,1,4.910001,0.041774914,0,0,020022,020022
1723808195698,3,4,5.3003714,0.41047016743525,1,1,020022,020022
1723808195698,3,19,0.3335650608421052,0.0015037037654502,0,0,020022,020022
1723808195790,3,4,5.3003714,0.41047016743525,1,1,020022,020022
1723808195790,3,19,0.3335650608421052,0.0015037037654502,0,0,020022,020022
1723808196009,3,17,0.0215663352941176,0.0173249319496789,0,0,020022,020022
1723808196009,3,5,6.286252899999999,0.0883458599999999,1,1,020022,020022
1723808196009,2,1,4.910001,0.017010257,0,0,020022,020022
1723808196009,2,4,0.001,9.784879375e-11,1,1,020022,020022
1723808196100,2,4,0.001,9.784879375e-11,1,1,020022,020022
1723808196100,2,1,4.910001,0.010170423,0,0,020022,020022
1723808196100,3,5,6.235448219999999,0.0924953979999999,1,1,020022,020022
1723808196100,3,17,0.0216950247058823,0.014464974681626,0,0,020022,020022
1723808196378,3,5,6.2906966,0.062365442,1,1,020022,020022
1723808196378,3,17,0.0394183623529411,0.0554986154331081,0,0,020022,020022
1723808196378,2,4,0.001,9.784879375e-11,1,1,020022,020022
1723808196378,2,1,4.910001,0.0010586116,0,0,020022,020022
1723808196613,2,4,0.001,9.784879375e-11,1,1,020022,020022
1723808196613,2,1,5.177495,0.8172494,0,0,020022,020022
1723808196796,3,18,0.383666715,0.053260234006897,0,0,020022,020022
1723808196796,3,6,6.314275583333334,0.1139695891666666,1,1,020022,020022
1723808196796,2,5,1.19959846,7.8279035e-11,1,1,020022,020022
1723808196796,2,1,5.177495,0.24327195,0,0,020022,020022
1723808197008,2,5,1.2000997999999998,0.0071522793217209,1,1,020022,020022
1723808197008,2,1,5.177495,0.04603333,0,0,020022,020022
1723808197098,2,5,1.2000997999999998,0.0024790711217209,1,1,020022,020022
1723808197098,2,1,5.177495,0.046220988,0,0,020022,020022
1723808197310,2,1,5.177495,0.008604705,0,0,020022,020022
1723808197310,3,6,6.616913716666667,0.6424070866666667,1,1,020022,020022
1723808197310,3,18,0.363709371111111,0.004021992675218,0,0,020022,020022
1723808197310,2,5,1.1873957999999998,0.0410997559217209,1,1,020022,020022
1723808197492,3,6,6.638880733333333,0.4286329206666666,1,1,020022,020022
1723808197492,3,18,0.3556495222222222,0.0170650478591424,0,0,020022,020022
1723808197492,2,5,1.1873957999999998,0.0147142499217209,1,1,020022,020022
1723808197492,2,1,5.177495,0.001291302,0,0,020022,020022
1723808197619,2,5,1.1873957999999998,0.0004791620417209,1,1,020022,020022
1723808197619,2,0,0.0,0.0,0,0,020022,020022
