Avg_Timestamp,Source,N_Objects,Avg_Speed,Avg_Acceleration,Approaching,Accelerating,Group
1723801695376,2,4,2.172588025,0.0690278430352296,1,1,000022
1723801695376,3,0,0.0,0.0,1,1,000022
1723801695376,3,18,0.3098320833333334,0.0151062277275675,0,0,000022
1723801695590,2,5,1.86272884,0.0168732576281836,1,1,000022
1723801695590,2,1,3.260033,0.017292146,0,0,000022
1723801695679,2,5,1.8578282,0.0275658836481836,1,1,000022
1723801695679,2,1,3.260033,0.01833506,0,0,000022
1723801695679,3,0,0.0,0.0,1,1,000022
1723801695679,3,15,0.4488340966666667,0.2715183622815064,0,0,000022
1723801695859,3,0,0.0,0.0,1,1,000022
1723801695859,3,15,0.4304643933333333,0.0985751664192554,0,0,000022
1723801696077,3,15,0.4670942066666667,0.1179982887227022,0,0,000022
1723801696077,3,0,0.0,0.0,1,1,000022
1723801696077,2,1,3.0124362,0.4157083,0,0,000022
1723801696077,2,4,2.039518475,0.0141040372352296,1,1,000022
1723801696168,3,0,0.0,0.0,1,1,000022
1723801696168,3,15,0.5269333333333334,0.2245288747502876,0,0,000022
1723801696168,2,4,2.05272355,0.0472586042647703,1,1,000022
1723801696168,2,1,3.0124364,0.30478853,0,0,000022
1723801696378,2,4,2.026471325,0.0791120422352296,1,1,000022
1723801696378,2,1,3.0124364,0.017372515,0,0,000022
1723801696586,3,0,0.0,0.0,1,1,000022
1723801696586,3,16,0.6615732,0.1952481075265973,0,0,000022
1723801696770,2,1,3.1070545,0.31542486,0,0,000022
1723801696770,2,4,1.99498545,0.0313300947352296,1,1,000022
1723801696770,3,0,0.0,0.0,1,1,000022
1723801696770,3,16,0.6811989175,0.1652610400265974,0,0,000022
1723801696864,2,4,2.007894385,0.0217608552647703,1,1,000022
1723801696864,2,1,3.105503,0.273733,0,0,000022
1723801697076,2,1,3.1535246,0.22503659,0,0,000022
1723801697076,3,0,0.0,0.0,1,1,000022
1723801697076,3,15,0.8001550879999999,0.2254246833418265,0,0,000022
1723801697076,2,4,2.050329575,0.1556874877647703,1,1,000022
1723801697165,2,4,2.04207525,0.0857489792647703,1,1,000022
1723801697165,2,1,3.1890137,0.2713305,0,0,000022
1723801697165,3,0,0.0,0.0,1,1,000022
1723801697165,3,15,0.8186376200000001,0.2605909380084932,0,0,000022
1723801697383,2,5,3.041954418,0.4013682917881837,1,1,000022
1723801697383,2,1,3.1890135,0.06686618,0,0,000022
1723801697383,3,0,0.0,0.0,1,1,000022
1723801697383,3,15,0.86161388,0.1776879790635405,0,0,000022
1723801697477,3,0,0.0,0.0,1,1,000022
1723801697477,3,15,0.9036208133333332,0.2181132069302071,0,0,000022
1723801697477,2,5,3.0449034159999995,0.3696523089881837,1,1,000022
1723801697477,2,1,3.2227185,0.13824144,0,0,000022
1723801697565,3,0,0.0,0.0,1,1,000022
1723801697565,3,15,0.9152256366666668,0.2104831595568738,0,0,000022
1723801697565,2,5,3.039164522,0.2763833054481837,1,1,000022
1723801697565,2,1,3.152556,0.11463827,0,0,000022
1723801697779,2,1,3.144477,0.123036124,0,0,000022
1723801697779,2,5,3.014634222,0.1036245897881836,1,1,000022
1723801697875,2,5,2.990304122,0.1403119963881836,1,1,000022
1723801697875,2,1,3.144477,0.05841016,0,0,000022
1723801697875,3,0,0.0,0.0,1,1,000022
1723801697875,3,14,0.9859076357142856,0.039806623830289,0,0,000022
1723801698077,3,0,0.0,0.0,1,1,000022
1723801698077,3,14,1.013685707142857,0.1052676341874319,0,0,000022
1723801698077,2,5,2.936406022,0.2345270607881837,1,1,000022
1723801698077,2,1,2.987186,0.5090364,0,0,000022
1723801698168,2,1,2.987186,0.44671834,0,0,000022
1723801698168,2,5,2.993417414,0.0119630162118162,1,1,000022
1723801698168,3,0,0.0,0.0,1,1,000022
1723801698168,3,14,1.019655357142857,0.1083147830195747,0,0,000022
1723801698383,3,0,0.0,0.0,1,1,000022
1723801698383,3,12,1.231947033333333,0.1629516939851111,0,0,000022
1723801698567,2,5,2.920817474,0.2545016717881836,1,1,000022
1723801698567,2,1,2.8933098,0.2661767,0,0,000022
1723801698567,3,0,0.0,0.0,1,1,000022
1723801698567,3,12,1.242056033333333,0.0960053270521111,0,0,000022
1723801698875,2,1,2.789749,0.3473241,0,0,000022
1723801698875,2,5,2.765375774,0.4953115317881836,1,1,000022
1723801698875,3,0,0.0,0.0,1,1,000022
1723801698875,3,12,1.2813335916666664,0.0992008442406111,0,0,000022
1723801699092,2,5,2.73660266,0.1796230791881836,1,1,101011
1723801699092,2,1,2.704662,0.47862166,0,0,101011
1723801699272,2,5,2.707929954,0.1375196892881836,1,1,101011
1723801699272,2,1,2.7186987,0.22765036,0,0,101011
